### yeast

Number of trainable parameters: 82.00 millions
### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.71370 0.58682 0.56825 0.29021
0.71423 0.58791 0.57349 0.28234
0.71892 0.58806 0.58140 0.29921
0.71849 0.59125 0.57748 0.28459
0.71217 0.54938 0.58171 0.30484
0.71586 0.59250 0.57738 0.28459
0.71921 0.59562 0.57925 0.31721
0.72580 0.58796 0.57833 0.30371
0.72474 0.57847 0.57993 0.30596
0.72146 0.58277 0.58685 0.31159

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.66074 0.48537 0.53929 0.22460
0.62728 0.46534 0.51782 0.22348
0.65202 0.47587 0.53344 0.21783
0.63480 0.44403 0.53383 0.23025
0.63803 0.43560 0.52469 0.21106
0.62884 0.43815 0.52305 0.18962
0.62083 0.40730 0.52291 0.19639
0.62808 0.44402 0.52216 0.19977
0.63864 0.46083 0.51554 0.22348
0.62905 0.46921 0.52096 0.21558

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.60159 0.36529 0.49559 0.23001
0.59857 0.36370 0.49434 0.23739
0.62009 0.38243 0.51098 0.24354
0.58135 0.35952 0.50242 0.22386
0.58848 0.35025 0.48703 0.23739
0.59083 0.36808 0.50034 0.20295
0.60410 0.36680 0.49720 0.23739
0.59746 0.35235 0.50104 0.20787
0.58364 0.34386 0.48086 0.19680
0.61203 0.38737 0.49391 0.24231
