### yeast

Number of trainable parameters: 2.47 millions
### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.59398 0.45314 0.50936 0.19123
0.62267 0.46975 0.52341 0.21710
0.61115 0.45833 0.52538 0.21147
0.61548 0.47410 0.52381 0.20472
0.63156 0.48958 0.53906 0.21822
0.62470 0.48636 0.53505 0.17885
0.60697 0.47556 0.52880 0.19460
0.59778 0.45956 0.50754 0.19910
0.61115 0.47165 0.52811 0.16760
0.61523 0.47483 0.52678 0.19573

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.49130 0.31718 0.42832 0.08804
0.46240 0.30789 0.41064 0.08804
0.50325 0.32797 0.43719 0.10835
0.48784 0.32607 0.42791 0.09029
0.48985 0.33489 0.42418 0.09932
0.49346 0.32213 0.43156 0.09819
0.48583 0.31586 0.42586 0.09142
0.48772 0.34080 0.43199 0.10271
0.50219 0.33996 0.42914 0.09029
0.49012 0.32288 0.43264 0.09142

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.42391 0.26070 0.38255 0.09963
0.45307 0.25894 0.39677 0.11316
0.44698 0.25407 0.39827 0.08733
0.44524 0.23848 0.38774 0.11316
0.43749 0.23759 0.38395 0.10824
0.41479 0.23488 0.38024 0.09225
0.44659 0.23374 0.39645 0.09102
0.44581 0.24196 0.39322 0.11070
0.42864 0.25106 0.38445 0.11439
0.42249 0.22106 0.38301 0.10086
