### yeast_deepNF_MDA_arch_2_final_res.h5

### level1 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.55076 0.42160 0.48476 0.18898
0.55737 0.41864 0.48008 0.17998
0.57290 0.42771 0.48980 0.18110
0.54721 0.41966 0.47825 0.12373
0.56490 0.42308 0.49143 0.13611
0.56097 0.42192 0.48525 0.17998
0.55131 0.41635 0.48313 0.13048
0.57248 0.42405 0.50021 0.14848
0.54703 0.40248 0.47529 0.13611
0.54410 0.41083 0.47514 0.15186

### level2 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.41884 0.26671 0.38349 0.06321
0.42297 0.28429 0.38533 0.10948
0.42542 0.26479 0.38887 0.07111
0.42133 0.29004 0.38451 0.11174
0.43300 0.27575 0.39401 0.05982
0.42475 0.28604 0.38169 0.05869
0.43783 0.29746 0.39105 0.11174
0.40559 0.27096 0.37838 0.10948
0.42261 0.26164 0.38560 0.11625
0.41978 0.26513 0.38323 0.09255

### level3 trials:
aupr[micro], aupr[macro], F_max, accuracy
0.38727 0.21885 0.35461 0.06396
0.37212 0.18955 0.35660 0.04797
0.38895 0.21353 0.35977 0.15375
0.38549 0.20279 0.34805 0.07134
0.37732 0.20785 0.34371 0.06765
0.39507 0.21356 0.36754 0.15006
0.36765 0.20413 0.34983 0.05535
0.38753 0.20891 0.35651 0.06273
0.36921 0.19554 0.34743 0.13161
0.37493 0.19935 0.34929 0.05904
